product_idea,category,skill_level,available_materials,available_tools,budget_zar,estimated_cost_zar,build_feasible,build_time,revisions_needed
Spice Rack,storage,Beginner,"oak lumber, dovetail joints, wood glue, oil finish","jigsaw, drill, tape measure, sandpaper, square",700,317,YES,2-4 hours,0
Jewelry Box,storage,Beginner,"oak lumber, dovetail joints, wood glue, oil finish","hand saw, chisel, mallet, sandpaper, tape measure",1252,525,YES,4-8 hours,0
Raised Garden Bed,outdoor,Beginner,"meranti boards, exterior glue, galvanised nails, wood preservative","hand saw, chisel, mallet, sandpaper, tape measure",1926,546,YES,1-2 days,0
Curio Cabinet,storage,Advanced,"plywood sheets, pine edging, wood screws, lacquer","table saw, jointer, planer, router, drill press, orbital sander, clamps",8798,3141,NO,3-5 days,1
Chest of Drawers,storage,Intermediate,"reclaimed wood, brackets, nails, linseed oil","miter saw, drill, orbital sander, clamps, router, level",5581,1817,NO,3-4 days,2
Wooden Toys,kids,Intermediate,"pine boards, non-toxic paint, sandpaper, wood glue","circular saw, router, orbital sander, drill, clamps, tape measure",300,108,YES,2-4 hours,0
Platform Bed,bedroom,Intermediate,"oak lumber, dowels, wood glue, varnish","circular saw, router, orbital sander, drill, clamps, tape measure",5397,3126,YES,2-3 days,2
Patio Table,tables,Intermediate,"pine boards, wood screws, sandpaper, wood stain","circular saw, router, orbital sander, drill, clamps, tape measure",4672,1909,YES,1-2 days,0
Gazebo,outdoor,Intermediate,"pine boards, outdoor screws, weather sealant, sandpaper","table saw, drill, orbital sander, clamps, router, square",8136,3653,YES,5-7 days,0
Picnic Table,tables,Intermediate,"oak lumber, dowels, wood glue, varnish","table saw, drill, orbital sander, clamps, router, square",2851,1325,YES,1-2 days,0
Wardrobe,storage,Advanced,"meranti boards, metal hinges, wood screws, paint","CNC router, table saw, orbital sander, mortise chisel, mallet, clamps, router",12474,3813,NO,4-6 days,1
Serving Tray,decorative,Beginner,"hardwood scraps, epoxy resin, sandpaper, oil finish","hand saw, chisel, mallet, sandpaper, tape measure",678,313,YES,2-4 hours,1
Bed Frame,bedroom,Intermediate,"plywood sheets, pine trim, wood screws, paint","table saw, drill, orbital sander, clamps, router, square",7201,2729,NO,2-3 days,2
Utensil Holder,storage,Beginner,"pine boards, dowels, wood filler, polyurethane","hand saw, hammer, tape measure, sandpaper, clamps",530,200,NO,1-2 hours,1
Storage Bench,storage,Advanced,"pine boards, dowels, wood filler, polyurethane","miter saw, table saw, router, band saw, drill press, orbital sander, clamps, chisel",2311,932,YES,1-2 days,0
Armchair,seating,Beginner,"reclaimed wood, steel brackets, sandpaper, linseed oil","hand saw, chisel, mallet, sandpaper, tape measure",5891,2457,YES,3-4 days,0
Credenza,storage,Beginner,"plywood sheets, pine edging, wood screws, lacquer","jigsaw, drill, tape measure, sandpaper, square",8860,3265,NO,3-5 days,3
End Table,tables,Intermediate,"reclaimed wood, steel brackets, sandpaper, linseed oil","band saw, drill press, orbital sander, clamps, chisel, mallet",1257,615,YES,4-8 hours,1
Birdhouse,outdoor,Beginner,"cedar boards, stainless screws, teak oil, sandpaper","hand saw, chisel, mallet, sandpaper, tape measure",503,246,YES,2-4 hours,2
Gazebo,outdoor,Advanced,"pine boards, outdoor screws, weather sealant, sandpaper","miter saw, table saw, router, band saw, drill press, orbital sander, clamps, chisel",16613,5860,YES,5-7 days,0
Clock,decorative,Intermediate,"reclaimed wood off-cuts, wood glue, sandpaper, varnish","circular saw, router, orbital sander, drill, clamps, tape measure",919,291,YES,4-8 hours,1
Window Seat,storage,Intermediate,"oak lumber, dovetail joints, wood glue, oil finish","circular saw, router, orbital sander, drill, clamps, tape measure",2960,1363,YES,2-3 days,0
Folding Chair,seating,Beginner,"hardwood lumber, mortise joints, wood glue, varnish","hand saw, hammer, tape measure, sandpaper, clamps",1228,549,YES,1-2 days,0
Folding Table,tables,Intermediate,"meranti boards, pocket screws, wood filler, polyurethane","circular saw, router, orbital sander, drill, clamps, tape measure",2343,876,NO,1-2 days,2
Canopy Bed,bedroom,Advanced,"oak lumber, dowels, wood glue, varnish","table saw, jointer, planer, router, drill press, orbital sander, clamps",9579,3250,YES,4-6 days,0
Wall-Mounted Shelves,storage,Beginner,"pine boards, plywood, wood screws, sandpaper, varnish","jigsaw, drill, tape measure, sandpaper, square",688,275,YES,2-4 hours,3
Wooden Toys,kids,Intermediate,"pine boards, non-toxic paint, sandpaper, wood glue","circular saw, router, orbital sander, drill, clamps, tape measure",715,246,YES,2-4 hours,0
Trellis,outdoor,Beginner,"treated pine, galvanised screws, outdoor paint, sandpaper","circular saw, hammer, tape measure, clamps, level",850,402,YES,3-6 hours,0
Raised Garden Bed,outdoor,Beginner,"pine boards, outdoor screws, weather sealant, sandpaper","hand saw, hammer, tape measure, sandpaper, clamps",1734,780,YES,1-2 days,1
Clock,decorative,Intermediate,"hardwood scraps, epoxy resin, sandpaper, oil finish","band saw, drill press, orbital sander, clamps, chisel, mallet",1057,299,NO,4-8 hours,2
Platform Bed,bedroom,Beginner,"pine boards, wood screws, sandpaper, wood stain","hand saw, hammer, tape measure, sandpaper, clamps",4325,2382,YES,2-3 days,0
Display Cabinet,storage,Advanced,"meranti boards, metal hinges, wood screws, paint","table saw, jointer, planer, router, drill press, orbital sander, clamps",6921,3955,YES,3-5 days,0
Step Stool,seating,Beginner,"hardwood lumber, mortise joints, wood glue, varnish","hand saw, hammer, tape measure, sandpaper, clamps",904,559,NO,4-8 hours,1
Coffee Table,tables,Intermediate,"meranti boards, pocket screws, wood filler, polyurethane","band saw, drill press, orbital sander, clamps, chisel, mallet",1571,738,YES,1-2 days,2
Patio Table,tables,Intermediate,"meranti boards, pocket screws, wood filler, polyurethane","band saw, drill press, orbital sander, clamps, chisel, mallet",2990,1526,YES,1-2 days,0
Credenza,storage,Advanced,"pine boards, dowels, wood filler, polyurethane","table saw, band saw, router table, drill press, orbital sander, mortise chisel, mallet, clamps",5559,1658,YES,3-5 days,0
Floating Shelves,storage,Beginner,"plywood sheets, pine edging, wood screws, lacquer","hand saw, chisel, mallet, sandpaper, tape measure",1227,474,YES,2-4 hours,1
Footstool,seating,Beginner,"meranti boards, dowels, sandpaper, paint","jigsaw, drill, tape measure, sandpaper, square",821,479,YES,3-5 hours,0
Wooden Toys,kids,Beginner,"pine boards, non-toxic paint, sandpaper, wood glue","hand saw, chisel, mallet, sandpaper, tape measure",788,401,YES,2-4 hours,0
Headboard,bedroom,Advanced,"meranti boards, pocket screws, sandpaper, lacquer","table saw, jointer, planer, router, drill press, orbital sander, clamps",1383,716,NO,4-8 hours,2
Kitchen Island,tables,Advanced,"reclaimed wood, steel brackets, sandpaper, linseed oil","table saw, jointer, planer, router, drill press, orbital sander, clamps",8478,3604,NO,3-5 days,1
Dining Chair,seating,Advanced,"pine boards, pocket screws, wood filler, polyurethane","table saw, jointer, planer, router, drill press, orbital sander, clamps",5553,1512,NO,1-2 days,2
Canopy Bed,bedroom,Beginner,"reclaimed wood, steel brackets, sandpaper, linseed oil","hand saw, chisel, mallet, sandpaper, tape measure",4662,2439,YES,4-6 days,0
Curio Cabinet,storage,Advanced,"pine boards, plywood, wood screws, sandpaper, varnish","table saw, band saw, router table, drill press, orbital sander, mortise chisel, mallet, clamps",10300,3004,YES,3-5 days,3
Trellis,outdoor,Advanced,"reclaimed timber, galvanised brackets, outdoor stain, nails","table saw, band saw, router table, drill press, orbital sander, mortise chisel, mallet, clamps",930,476,YES,3-6 hours,1
Porch Swing,seating,Advanced,"meranti boards, dowels, sandpaper, paint","table saw, jointer, planer, router, drill press, orbital sander, clamps",3446,1303,YES,1-2 days,3
Pallet Furniture,seating,Beginner,"hardwood lumber, mortise joints, wood glue, varnish","hand saw, hammer, tape measure, sandpaper, clamps",773,363,YES,1-2 days,2
Chaise Lounge,seating,Advanced,"pine boards, wood screws, sandpaper, wood stain","CNC router, table saw, orbital sander, mortise chisel, mallet, clamps, router",7261,1952,YES,3-5 days,0
Footstool,seating,Beginner,"pine boards, wood screws, sandpaper, wood stain","jigsaw, drill, tape measure, sandpaper, square",934,423,YES,3-5 hours,0
Bench,seating,Beginner,"meranti boards, dowels, sandpaper, paint","jigsaw, drill, tape measure, sandpaper, square",2119,801,YES,1-2 days,1
Sawhorse,workshop,Beginner,"hardwood lumber, bolts, washers, metal brackets","hand saw, chisel, mallet, sandpaper, tape measure",1244,486,YES,3-5 hours,0
Folding Table,tables,Advanced,"plywood sheets, hardwood edge banding, wood screws, lacquer","miter saw, table saw, router, band saw, drill press, orbital sander, clamps, chisel",3415,1512,YES,1-2 days,0
Clock,decorative,Intermediate,"pine boards, router bits, sandpaper, lacquer","miter saw, drill, orbital sander, clamps, router, level",830,331,YES,4-8 hours,3
Bunk Bed,bedroom,Advanced,"reclaimed wood, steel brackets, sandpaper, linseed oil","miter saw, table saw, router, band saw, drill press, orbital sander, clamps, chisel",4963,1653,YES,3-5 days,0
Bird Feeder,outdoor,Beginner,"meranti boards, exterior glue, galvanised nails, wood preservative","circular saw, hammer, tape measure, clamps, level",192,89,YES,1-3 hours,0
Loft Bed,bedroom,Intermediate,"pine boards, wood screws, sandpaper, wood stain","table saw, drill, orbital sander, clamps, router, square",6368,3086,YES,3-5 days,0
Coffee Table,tables,Beginner,"oak lumber, dowels, wood glue, varnish","hand saw, hammer, tape measure, sandpaper, clamps",747,350,YES,1-2 days,0
Memory Box / Hope Chest,storage,Intermediate,"oak lumber, dovetail joints, wood glue, oil finish","table saw, drill, orbital sander, clamps, router, square",2993,1454,YES,1-2 days,1
Picnic Table,tables,Intermediate,"meranti boards, pocket screws, wood filler, polyurethane","table saw, drill, orbital sander, clamps, router, square",1640,628,YES,1-2 days,0
Wooden Toys,kids,Intermediate,"hardwood scraps, child-safe varnish, sandpaper, dowels","band saw, drill press, orbital sander, clamps, chisel, mallet",327,153,NO,2-4 hours,2
Cat Tree / Cat Condo,outdoor,Beginner,"treated pine, galvanised screws, outdoor paint, sandpaper","jigsaw, drill, tape measure, sandpaper, square",888,354,YES,1-2 days,2
Bench,seating,Intermediate,"pine boards, pocket screws, wood filler, polyurethane","table saw, drill, orbital sander, clamps, router, square",1194,523,YES,1-2 days,0
Chaise Lounge,seating,Advanced,"meranti boards, dowels, sandpaper, paint","table saw, jointer, planer, router, drill press, orbital sander, clamps",6583,2629,YES,3-5 days,0
Wine Rack,storage,Advanced,"pine boards, plywood, wood screws, sandpaper, varnish","table saw, jointer, planer, router, drill press, orbital sander, clamps",1053,378,YES,4-8 hours,0
Display Cabinet,storage,Advanced,"oak lumber, dovetail joints, wood glue, oil finish","CNC router, table saw, orbital sander, mortise chisel, mallet, clamps, router",5847,2552,YES,3-5 days,2
Footstool,seating,Intermediate,"pine boards, wood screws, sandpaper, wood stain","table saw, drill, orbital sander, clamps, router, square",730,324,YES,3-5 hours,3
Nightstand,bedroom,Beginner,"pine boards, wood screws, sandpaper, wood stain","circular saw, hammer, tape measure, clamps, level",1380,491,YES,4-8 hours,2
End Table,tables,Intermediate,"oak lumber, dowels, wood glue, varnish","miter saw, drill, orbital sander, clamps, router, level",1211,786,YES,4-8 hours,2
Pergola,outdoor,Intermediate,"meranti boards, exterior glue, galvanised nails, wood preservative","circular saw, router, orbital sander, drill, clamps, tape measure",9968,4694,YES,3-5 days,3
Tool Chest,storage,Intermediate,"plywood sheets, pine edging, wood screws, lacquer","miter saw, drill, orbital sander, clamps, router, level",2002,614,YES,2-3 days,0
Serving Tray,decorative,Intermediate,"walnut off-cuts, danish oil, sandpaper, beeswax","band saw, drill press, orbital sander, clamps, chisel, mallet",584,251,YES,2-4 hours,3
Linen Press,storage,Intermediate,"pine boards, plywood, wood screws, sandpaper, varnish","table saw, drill, orbital sander, clamps, router, square",6183,2520,YES,4-6 days,0
Bookcase,storage,Intermediate,"reclaimed wood, brackets, nails, linseed oil","table saw, drill, orbital sander, clamps, router, square",2480,1220,YES,1-2 days,2
Console Table,tables,Intermediate,"reclaimed wood, steel brackets, sandpaper, linseed oil","miter saw, drill, orbital sander, clamps, router, level",2107,810,YES,1-2 days,0
Wooden Toys,kids,Beginner,"birch plywood, non-toxic finish, sandpaper, wood screws","jigsaw, drill, tape measure, sandpaper, square",578,243,YES,2-4 hours,1
Shoe Rack,storage,Beginner,"pine boards, plywood, wood screws, sandpaper, varnish","hand saw, hammer, tape measure, sandpaper, clamps",1409,537,YES,3-5 hours,1
Utensil Holder,storage,Beginner,"reclaimed wood, brackets, nails, linseed oil","circular saw, hammer, tape measure, clamps, level",510,149,YES,1-2 hours,0
Wooden Toys,kids,Beginner,"birch plywood, non-toxic finish, sandpaper, wood screws","jigsaw, drill, tape measure, sandpaper, square",221,129,YES,2-4 hours,0
Rabbit Hutch,outdoor,Beginner,"pine boards, outdoor screws, weather sealant, sandpaper","jigsaw, drill, tape measure, sandpaper, square",1917,1091,YES,1-2 days,0
Outdoor Lounge Chair,seating,Beginner,"pine boards, wood screws, sandpaper, wood stain","circular saw, hammer, tape measure, clamps, level",2674,1565,YES,1-2 days,0
Footboard,bedroom,Beginner,"meranti boards, pocket screws, sandpaper, lacquer","jigsaw, drill, tape measure, sandpaper, square",2055,822,YES,4-8 hours,1
Rabbit Hutch,outdoor,Intermediate,"meranti boards, exterior glue, galvanised nails, wood preservative","circular saw, router, orbital sander, drill, clamps, tape measure",1580,688,YES,1-2 days,2
Wooden Sign,decorative,Beginner,"hardwood scraps, epoxy resin, sandpaper, oil finish","hand saw, chisel, mallet, sandpaper, tape measure",580,273,YES,2-4 hours,0
Keepsake Box,storage,Beginner,"pine boards, plywood, wood screws, sandpaper, varnish","hand saw, chisel, mallet, sandpaper, tape measure",865,330,NO,2-4 hours,3
Sawhorse,workshop,Advanced,"meranti boards, lag screws, sandpaper, wood stain","CNC router, table saw, orbital sander, mortise chisel, mallet, clamps, router",1069,518,YES,3-5 hours,3
Picture Frame,decorative,Beginner,"reclaimed wood off-cuts, wood glue, sandpaper, varnish","hand saw, chisel, mallet, sandpaper, tape measure",371,146,YES,1-3 hours,0
Folding Chair,seating,Intermediate,"meranti boards, dowels, sandpaper, paint","band saw, drill press, orbital sander, clamps, chisel, mallet",771,450,YES,1-2 days,0
Wooden Toys,kids,Beginner,"birch plywood, non-toxic finish, sandpaper, wood screws","hand saw, hammer, tape measure, sandpaper, clamps",713,197,YES,2-4 hours,0
Bunk Bed,bedroom,Advanced,"reclaimed wood, steel brackets, sandpaper, linseed oil","table saw, band saw, router table, drill press, orbital sander, mortise chisel, mallet, clamps",10193,3132,YES,3-5 days,2
Adirondack Chair,seating,Intermediate,"meranti boards, dowels, sandpaper, paint","circular saw, router, orbital sander, drill, clamps, tape measure",1871,765,NO,1-2 days,3
Platform Bed,bedroom,Advanced,"meranti boards, pocket screws, sandpaper, lacquer","table saw, band saw, router table, drill press, orbital sander, mortise chisel, mallet, clamps",7466,2533,NO,2-3 days,3
Bench with Backrest,seating,Intermediate,"meranti boards, dowels, sandpaper, paint","miter saw, drill, orbital sander, clamps, router, level",2022,646,YES,1-2 days,0
Adirondack Chair,seating,Advanced,"reclaimed wood, steel brackets, sandpaper, linseed oil","table saw, band saw, router table, drill press, orbital sander, mortise chisel, mallet, clamps",3365,1660,YES,1-2 days,2
Garden Bench,outdoor,Beginner,"meranti boards, exterior glue, galvanised nails, wood preservative","hand saw, chisel, mallet, sandpaper, tape measure",745,336,YES,1-2 days,1
Secretary Desk,tables,Advanced,"oak lumber, dowels, wood glue, varnish","miter saw, table saw, router, band saw, drill press, orbital sander, clamps, chisel",10909,3794,YES,3-5 days,0
Nightstand,bedroom,Beginner,"pine boards, wood screws, sandpaper, wood stain","circular saw, hammer, tape measure, clamps, level",1272,675,YES,4-8 hours,0
Pergola,outdoor,Advanced,"cedar boards, stainless screws, teak oil, sandpaper","table saw, jointer, planer, router, drill press, orbital sander, clamps",9432,5241,YES,3-5 days,0
Secretary Desk,tables,Advanced,"meranti boards, pocket screws, wood filler, polyurethane","table saw, jointer, planer, router, drill press, orbital sander, clamps",8522,2020,YES,3-5 days,2
Toy Box,storage,Intermediate,"oak lumber, dovetail joints, wood glue, oil finish","band saw, drill press, orbital sander, clamps, chisel, mallet",1150,529,YES,1-2 days,0
Toy Box,storage,Beginner,"pine boards, dowels, wood filler, polyurethane","hand saw, hammer, tape measure, sandpaper, clamps",1425,636,YES,1-2 days,3
Stool,seating,Beginner,"pine boards, pocket screws, wood filler, polyurethane","hand saw, chisel, mallet, sandpaper, tape measure",810,518,YES,3-5 hours,2
Kitchen Island,tables,Advanced,"oak lumber, dowels, wood glue, varnish","table saw, band saw, router table, drill press, orbital sander, mortise chisel, mallet, clamps",12036,2844,YES,3-5 days,0
Picnic Table,tables,Intermediate,"pine boards, wood screws, sandpaper, wood stain","circular saw, router, orbital sander, drill, clamps, tape measure",4895,1366,YES,1-2 days,2
Platform Bed,bedroom,Intermediate,"plywood sheets, pine trim, wood screws, paint","band saw, drill press, orbital sander, clamps, chisel, mallet",6326,1996,YES,2-3 days,0
Storage Bench,storage,Intermediate,"pine boards, plywood, wood screws, sandpaper, varnish","miter saw, drill, orbital sander, clamps, router, level",3516,1370,NO,1-2 days,1
Serving Tray,decorative,Beginner,"walnut off-cuts, danish oil, sandpaper, beeswax","circular saw, hammer, tape measure, clamps, level",523,236,YES,2-4 hours,0
Crib,bedroom,Beginner,"oak lumber, dowels, wood glue, varnish","hand saw, chisel, mallet, sandpaper, tape measure",6920,3571,YES,3-5 days,0
Cat Tree / Cat Condo,outdoor,Beginner,"cedar boards, stainless screws, teak oil, sandpaper","jigsaw, drill, tape measure, sandpaper, square",945,334,YES,1-2 days,0
Trellis,outdoor,Intermediate,"pine boards, outdoor screws, weather sealant, sandpaper","miter saw, drill, orbital sander, clamps, router, level",968,401,YES,3-6 hours,2
Dining Table,tables,Intermediate,"pine boards, metal legs, wood glue, wood oil","band saw, drill press, orbital sander, clamps, chisel, mallet",4813,2173,YES,2-4 days,0
Birdhouse,outdoor,Beginner,"treated pine, galvanised screws, outdoor paint, sandpaper","circular saw, hammer, tape measure, clamps, level",284,116,YES,2-4 hours,1
Console Table,tables,Intermediate,"pine boards, metal legs, wood glue, wood oil","miter saw, drill, orbital sander, clamps, router, level",3056,964,YES,1-2 days,0
Knife Block,storage,Intermediate,"reclaimed wood, brackets, nails, linseed oil","miter saw, drill, orbital sander, clamps, router, level",616,173,YES,2-3 hours,0
Wall-Mounted Shelves,storage,Beginner,"plywood sheets, pine edging, wood screws, lacquer","hand saw, chisel, mallet, sandpaper, tape measure",742,409,YES,2-4 hours,0
Curio Cabinet,storage,Advanced,"plywood sheets, pine edging, wood screws, lacquer","miter saw, table saw, router, band saw, drill press, orbital sander, clamps, chisel",8611,3096,YES,3-5 days,0
Planter Box,outdoor,Beginner,"meranti boards, exterior glue, galvanised nails, wood preservative","hand saw, chisel, mallet, sandpaper, tape measure",910,452,YES,4-8 hours,0
Armchair,seating,Advanced,"pine boards, pocket screws, wood filler, polyurethane","CNC router, table saw, orbital sander, mortise chisel, mallet, clamps, router",5241,1330,YES,3-4 days,0
Chaise Lounge,seating,Intermediate,"reclaimed wood, steel brackets, sandpaper, linseed oil","band saw, drill press, orbital sander, clamps, chisel, mallet",3738,1212,YES,3-5 days,1
Cat Tree / Cat Condo,outdoor,Intermediate,"cedar boards, stainless screws, teak oil, sandpaper","band saw, drill press, orbital sander, clamps, chisel, mallet",1445,411,NO,1-2 days,2
Pallet Furniture,seating,Beginner,"hardwood lumber, mortise joints, wood glue, varnish","hand saw, chisel, mallet, sandpaper, tape measure",765,412,YES,1-2 days,0
Floating Shelves,storage,Beginner,"pine boards, plywood, wood screws, sandpaper, varnish","hand saw, hammer, tape measure, sandpaper, clamps",623,306,YES,2-4 hours,0
Ottoman,seating,Beginner,"pine boards, pocket screws, wood filler, polyurethane","hand saw, hammer, tape measure, sandpaper, clamps",3061,1295,YES,1-2 days,2
China Cabinet,storage,Advanced,"pine boards, plywood, wood screws, sandpaper, varnish","table saw, jointer, planer, router, drill press, orbital sander, clamps",10954,2946,YES,4-6 days,0
Window Seat,storage,Intermediate,"reclaimed wood, brackets, nails, linseed oil","circular saw, router, orbital sander, drill, clamps, tape measure",7062,2235,YES,2-3 days,0
Platform Bed,bedroom,Intermediate,"reclaimed wood, steel brackets, sandpaper, linseed oil","band saw, drill press, orbital sander, clamps, chisel, mallet",6221,2566,YES,2-3 days,3
Gazebo,outdoor,Advanced,"meranti boards, exterior glue, galvanised nails, wood preservative","table saw, band saw, router table, drill press, orbital sander, mortise chisel, mallet, clamps",9416,2869,YES,5-7 days,0
Picture Frame,decorative,Intermediate,"reclaimed wood off-cuts, wood glue, sandpaper, varnish","table saw, drill, orbital sander, clamps, router, square",204,91,YES,1-3 hours,0
Rocking Chair,seating,Beginner,"meranti boards, dowels, sandpaper, paint","circular saw, hammer, tape measure, clamps, level",6383,2831,YES,3-5 days,1
Jewelry Box,storage,Intermediate,"oak lumber, dovetail joints, wood glue, oil finish","table saw, drill, orbital sander, clamps, router, square",915,438,YES,4-8 hours,3
Platform Bed,bedroom,Beginner,"reclaimed wood, steel brackets, sandpaper, linseed oil","hand saw, hammer, tape measure, sandpaper, clamps",2993,1520,YES,2-3 days,2
Platform Bed,bedroom,Intermediate,"oak lumber, dowels, wood glue, varnish","miter saw, drill, orbital sander, clamps, router, level",3948,1380,YES,2-3 days,0
Pallet Furniture,seating,Beginner,"hardwood lumber, mortise joints, wood glue, varnish","hand saw, chisel, mallet, sandpaper, tape measure",498,235,YES,1-2 days,3
Wooden Sign,decorative,Beginner,"pine boards, router bits, sandpaper, lacquer","jigsaw, drill, tape measure, sandpaper, square",323,152,NO,2-4 hours,1
Planter Box,outdoor,Intermediate,"pine boards, outdoor screws, weather sealant, sandpaper","circular saw, router, orbital sander, drill, clamps, tape measure",562,262,YES,4-8 hours,1
Armoire,storage,Advanced,"plywood sheets, pine edging, wood screws, lacquer","CNC router, table saw, orbital sander, mortise chisel, mallet, clamps, router",15164,4244,YES,5-7 days,1
Utensil Holder,storage,Beginner,"reclaimed wood, brackets, nails, linseed oil","circular saw, hammer, tape measure, clamps, level",211,104,YES,1-2 hours,0
Dresser,storage,Intermediate,"plywood sheets, pine edging, wood screws, lacquer","table saw, drill, orbital sander, clamps, router, square",6408,2527,NO,3-5 days,1
Headboard,bedroom,Beginner,"reclaimed wood, steel brackets, sandpaper, linseed oil","jigsaw, drill, tape measure, sandpaper, square",1910,840,YES,4-8 hours,0
Patio Table,tables,Intermediate,"pine boards, metal legs, wood glue, wood oil","band saw, drill press, orbital sander, clamps, chisel, mallet",4426,1411,YES,1-2 days,2
Rabbit Hutch,outdoor,Intermediate,"cedar boards, stainless screws, teak oil, sandpaper","miter saw, drill, orbital sander, clamps, router, level",1607,631,YES,1-2 days,1
Ottoman,seating,Intermediate,"reclaimed wood, steel brackets, sandpaper, linseed oil","miter saw, drill, orbital sander, clamps, router, level",2243,1184,YES,1-2 days,3
Bed Frame,bedroom,Intermediate,"meranti boards, pocket screws, sandpaper, lacquer","circular saw, router, orbital sander, drill, clamps, tape measure",3545,1042,YES,2-3 days,2
Workbench Vise Mounting,workshop,Advanced,"hardwood lumber, bolts, washers, metal brackets","table saw, jointer, planer, router, drill press, orbital sander, clamps",1530,436,YES,4-8 hours,3
Footboard,bedroom,Beginner,"reclaimed wood, steel brackets, sandpaper, linseed oil","hand saw, hammer, tape measure, sandpaper, clamps",1576,715,YES,4-8 hours,3
Ottoman,seating,Intermediate,"pine boards, pocket screws, wood filler, polyurethane","circular saw, router, orbital sander, drill, clamps, tape measure",2245,1003,YES,1-2 days,0
Ladder Shelf,storage,Beginner,"pine boards, plywood, wood screws, sandpaper, varnish","hand saw, hammer, tape measure, sandpaper, clamps",620,289,YES,4-8 hours,2
China Cabinet,storage,Advanced,"meranti boards, metal hinges, wood screws, paint","table saw, band saw, router table, drill press, orbital sander, mortise chisel, mallet, clamps",7567,3514,YES,4-6 days,2
Storage Bench,storage,Intermediate,"pine boards, plywood, wood screws, sandpaper, varnish","band saw, drill press, orbital sander, clamps, chisel, mallet",2722,764,YES,1-2 days,1
Patio Table,tables,Intermediate,"meranti boards, pocket screws, wood filler, polyurethane","miter saw, drill, orbital sander, clamps, router, level",2034,772,YES,1-2 days,3
Headboard,bedroom,Beginner,"plywood sheets, pine trim, wood screws, paint","circular saw, hammer, tape measure, clamps, level",1710,757,YES,4-8 hours,0
Crib,bedroom,Advanced,"plywood sheets, pine trim, wood screws, paint","CNC router, table saw, orbital sander, mortise chisel, mallet, clamps, router",5294,2005,NO,3-5 days,3
Tool Chest,storage,Intermediate,"meranti boards, metal hinges, wood screws, paint","band saw, drill press, orbital sander, clamps, chisel, mallet",4371,1445,YES,2-3 days,0
Wall-Mounted Shelves,storage,Intermediate,"pine boards, plywood, wood screws, sandpaper, varnish","miter saw, drill, orbital sander, clamps, router, level",544,257,YES,2-4 hours,0
Window Seat,storage,Advanced,"pine boards, dowels, wood filler, polyurethane","table saw, band saw, router table, drill press, orbital sander, mortise chisel, mallet, clamps",2562,1160,NO,2-3 days,3
Picture Frame,decorative,Beginner,"reclaimed wood off-cuts, wood glue, sandpaper, varnish","hand saw, chisel, mallet, sandpaper, tape measure",394,140,YES,1-3 hours,2
Butcher Block Countertop,tables,Advanced,"pine boards, wood screws, sandpaper, wood stain","table saw, band saw, router table, drill press, orbital sander, mortise chisel, mallet, clamps",4109,1221,NO,2-4 days,3
Adirondack Chair,seating,Advanced,"pine boards, pocket screws, wood filler, polyurethane","table saw, jointer, planer, router, drill press, orbital sander, clamps",3775,1281,YES,1-2 days,0
Storage Bench,storage,Intermediate,"oak lumber, dovetail joints, wood glue, oil finish","table saw, drill, orbital sander, clamps, router, square",2052,806,YES,1-2 days,1
Pergola,outdoor,Advanced,"cedar boards, stainless screws, teak oil, sandpaper","table saw, band saw, router table, drill press, orbital sander, mortise chisel, mallet, clamps",7707,2589,NO,3-5 days,1
Arbor,outdoor,Intermediate,"meranti boards, exterior glue, galvanised nails, wood preservative","circular saw, router, orbital sander, drill, clamps, tape measure",3550,1645,YES,1-2 days,3
Serving Tray,decorative,Intermediate,"reclaimed wood off-cuts, wood glue, sandpaper, varnish","circular saw, router, orbital sander, drill, clamps, tape measure",376,150,YES,2-4 hours,3
Nightstand,bedroom,Beginner,"pine boards, wood screws, sandpaper, wood stain","hand saw, chisel, mallet, sandpaper, tape measure",1851,720,NO,4-8 hours,1
Porch Swing,seating,Intermediate,"reclaimed wood, steel brackets, sandpaper, linseed oil","table saw, drill, orbital sander, clamps, router, square",3410,1176,YES,1-2 days,2
Wall Art / Wood Carving,decorative,Advanced,"reclaimed wood off-cuts, wood glue, sandpaper, varnish","table saw, band saw, router table, drill press, orbital sander, mortise chisel, mallet, clamps",1415,661,NO,1-3 days,1
Raised Garden Bed,outdoor,Intermediate,"meranti boards, exterior glue, galvanised nails, wood preservative","band saw, drill press, orbital sander, clamps, chisel, mallet",864,342,YES,1-2 days,0
Wall Art / Wood Carving,decorative,Intermediate,"reclaimed wood off-cuts, wood glue, sandpaper, varnish","band saw, drill press, orbital sander, clamps, chisel, mallet",1735,923,YES,1-3 days,1
Chaise Lounge,seating,Advanced,"pine boards, pocket screws, wood filler, polyurethane","table saw, band saw, router table, drill press, orbital sander, mortise chisel, mallet, clamps",6891,3147,NO,3-5 days,2
Cat Tree / Cat Condo,outdoor,Intermediate,"cedar boards, stainless screws, teak oil, sandpaper","miter saw, drill, orbital sander, clamps, router, level",716,366,YES,1-2 days,0
Dollhouse,kids,Intermediate,"pine boards, non-toxic paint, sandpaper, wood glue","table saw, drill, orbital sander, clamps, router, square",2795,1196,YES,3-5 days,0
